word,slot1_count,slot2_count,slot3_count,slot4_count,slot5_count,slot6_count,slot7_count,slot8_count,dev_count,eval_count,slot1_rate_per10k,slot2_rate_per10k,slot3_rate_per10k,slot4_rate_per10k,slot5_rate_per10k,slot6_rate_per10k,slot7_rate_per10k,slot8_rate_per10k,dev_rate_per10k,eval_rate_per10k
candidates,12,0,0,22,6,16,16,9,0,8,16.42,0.00,0.00,38.67,9.93,20.71,14.20,11.15,0.00,1.20
naproxen,0,0,0,0,0,0,0,0,20,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.78,1.20
table,7,6,12,13,1,8,21,7,0,8,9.58,9.05,14.37,22.85,1.66,10.35,18.64,8.67,0.00,1.20
payments,0,0,0,0,0,4,16,20,0,8,0.00,0.00,0.00,0.00,0.00,5.18,14.20,24.78,0.00,1.20
customer,12,0,1,3,4,13,24,1,0,8,16.42,0.00,1.20,5.27,6.62,16.82,21.31,1.24,0.00,1.20
words,2,40,8,11,26,50,15,18,2,8,2.74,60.33,9.58,19.34,43.03,64.71,13.32,22.30,0.88,1.20
bit,4,0,4,1,0,3,8,13,0,7,5.47,0.00,4.79,1.76,0.00,3.88,7.10,16.11,0.00,1.05
testing,0,3,13,4,5,2,20,2,2,7,0.00,4.52,15.57,7.03,8.28,2.59,17.76,2.48,0.88,1.05
channel,0,13,0,0,0,9,4,12,2,7,0.00,19.61,0.00,0.00,0.00,11.65,3.55,14.87,0.88,1.05
numbers,1,9,9,5,2,13,6,3,2,7,1.37,13.57,10.78,8.79,3.31,16.82,5.33,3.72,0.88,1.05
saint,0,0,0,10,0,0,0,0,0,7,0.00,0.00,0.00,17.58,0.00,0.00,0.00,0.00,0.00,1.05
directive,0,12,0,0,0,0,0,0,0,7,0.00,18.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.05
block,0,9,6,0,7,4,0,0,4,7,0.00,13.57,7.19,0.00,11.59,5.18,0.00,0.00,1.76,1.05
modern,0,0,0,11,2,2,5,3,4,7,0.00,0.00,0.00,19.34,3.31,2.59,4.44,3.72,1.76,1.05
library,0,1,10,3,1,0,11,5,2,7,0.00,1.51,11.98,5.27,1.66,0.00,9.77,6.19,0.88,1.05
tools,2,1,5,2,14,2,5,4,0,7,2.74,1.51,5.99,3.52,23.17,2.59,4.44,4.96,0.00,1.05
wait,0,4,12,0,0,0,16,1,4,7,0.00,6.03,14.37,0.00,0.00,0.00,14.20,1.24,1.76,1.05
server,9,0,16,5,1,2,13,4,5,7,12.32,0.00,19.16,8.79,1.66,2.59,11.54,4.96,2.19,1.05
takes,4,2,2,12,5,6,4,2,0,7,5.47,3.02,2.40,21.09,8.28,7.76,3.55,2.48,0.00,1.05
identity,7,6,10,6,7,1,2,1,3,7,9.58,9.05,11.98,10.55,11.59,1.29,1.78,1.24,1.32,1.05
there's,4,4,7,2,6,2,0,0,2,7,5.47,6.03,8.38,3.52,9.93,2.59,0.00,0.00,0.88,1.05
post,4,13,4,5,0,2,7,4,10,7,5.47,19.61,4.79,8.79,0.00,2.59,6.21,4.96,4.39,1.05
video,3,8,0,11,3,0,13,2,7,7,4.11,12.07,0.00,19.34,4.97,0.00,11.54,2.48,3.07,1.05
connection,8,1,11,0,4,4,0,0,5,7,10.95,1.51,13.17,0.00,6.62,5.18,0.00,0.00,2.19,1.05
novel,0,1,0,0,9,4,0,0,0,6,0.00,1.51,0.00,0.00,14.90,5.18,0.00,0.00,0.00,0.90
paragraph,0,4,0,0,6,2,0,0,2,6,0.00,6.03,0.00,0.00,9.93,2.59,0.00,0.00,0.88,0.90
service,6,6,25,1,6,8,29,10,1,6,8.21,9.05,29.94,1.76,9.93,10.35,25.75,12.39,0.44,0.90
action,18,0,1,2,3,1,4,5,4,6,24.64,0.00,1.20,3.52,4.97,1.29,3.55,6.19,1.76,0.90
mindset,0,8,0,0,0,0,2,0,0,6,0.00,12.07,0.00,0.00,0.00,0.00,1.78,0.00,0.00,0.90
key,25,19,18,11,22,20,47,49,0,6,34.22,28.66,21.56,19.34,36.41,25.88,41.73,60.70,0.00,0.90
draft,10,4,0,0,5,2,0,0,0,6,13.69,6.03,0.00,0.00,8.28,2.59,0.00,0.00,0.00,0.90
requirement,0,2,0,8,0,10,0,8,0,6,0.00,3.02,0.00,14.06,0.00,12.94,0.00,9.91,0.00,0.90
magnesium,0,0,0,0,0,0,0,0,40,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.55,0.90
injection,8,7,0,4,18,0,10,0,1,6,10.95,10.56,0.00,7.03,29.79,0.00,8.88,0.00,0.44,0.90
tips,0,0,0,0,7,1,3,0,3,6,0.00,0.00,0.00,0.00,11.59,1.29,2.66,0.00,1.32,0.90
path,8,0,8,2,3,5,19,3,1,6,10.95,0.00,9.58,3.52,4.97,6.47,16.87,3.72,0.44,0.90
run,38,45,70,3,6,68,54,56,2,6,52.01,67.87,83.83,5.27,9.93,88.00,47.94,69.38,0.88,0.90
unique,1,0,0,11,0,22,1,0,2,6,1.37,0.00,0.00,19.34,0.00,28.47,0.89,0.00,0.88,0.90
counts,0,6,4,14,0,8,0,6,0,6,0.00,9.05,4.79,24.61,0.00,10.35,0.00,7.43,0.00,0.90
exercises,0,4,0,0,2,0,0,0,18,6,0.00,6.03,0.00,0.00,3.31,0.00,0.00,0.00,7.90,0.90
notes,0,9,4,0,1,5,7,4,4,6,0.00,13.57,4.79,0.00,1.66,6.47,6.21,4.96,1.76,0.90
policy,2,6,16,0,1,0,15,10,0,6,2.74,9.05,19.16,0.00,1.66,0.00,13.32,12.39,0.00,0.90
strategies,1,0,4,2,7,0,1,0,0,5,1.37,0.00,4.79,3.52,11.59,0.00,0.89,0.00,0.00,0.75
tag,0,8,24,0,5,16,17,8,0,5,0.00,12.07,28.74,0.00,8.28,20.71,15.09,9.91,0.00,0.75
everyday,0,6,0,0,8,0,1,0,0,5,0.00,9.05,0.00,0.00,13.24,0.00,0.89,0.00,0.00,0.75
suspected,2,0,4,0,0,10,0,0,2,5,2.74,0.00,4.79,0.00,0.00,12.94,0.00,0.00,0.88,0.75
push,0,10,16,1,0,7,8,6,2,5,0.00,15.08,19.16,1.76,0.00,9.06,7.10,7.43,0.88,0.75
monitor,9,9,12,1,3,8,9,9,1,5,12.32,13.57,14.37,1.76,4.97,10.35,7.99,11.15,0.44,0.75
fix,10,0,0,0,0,0,1,0,6,5,13.69,0.00,0.00,0.00,0.00,0.00,0.89,0.00,2.63,0.75
refuse,26,13,26,14,24,0,37,4,0,5,35.59,19.61,31.14,24.61,39.72,0.00,32.85,4.96,0.00,0.75
matches,8,6,12,5,0,0,3,9,0,5,10.95,9.05,14.37,8.79,0.00,0.00,2.66,11.15,0.00,0.75
design,2,2,6,1,5,4,10,6,0,5,2.74,3.02,7.19,1.76,8.28,5.18,8.88,7.43,0.00,0.75
tower,5,0,1,11,7,1,6,0,0,5,6.84,0.00,1.20,19.34,11.59,1.29,5.33,0.00,0.00,0.75
process,1,3,0,2,1,4,3,10,8,5,1.37,4.52,0.00,3.52,1.66,5.18,2.66,12.39,3.51,0.75
promotion,0,8,0,0,0,0,0,0,0,5,0.00,12.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.75
private,13,18,15,3,5,8,8,4,2,5,17.79,27.15,17.96,5.27,8.28,10.35,7.10,4.96,0.88,0.75
speaks,4,4,0,4,8,0,0,10,3,5,5.47,6.03,0.00,7.03,13.24,0.00,0.00,12.39,1.32,0.75
image,0,25,60,0,0,17,26,27,1,5,0.00,37.71,71.86,0.00,0.00,22.00,23.08,33.45,0.44,0.75
writing,4,0,0,0,3,0,11,0,0,5,5.47,0.00,0.00,0.00,4.97,0.00,9.77,0.00,0.00,0.75
required,4,0,6,0,4,5,7,9,4,4,5.47,0.00,7.19,0.00,6.62,6.47,6.21,11.15,1.76,0.60
label,0,0,1,15,0,1,7,0,3,4,0.00,0.00,1.20,26.37,0.00,1.29,6.21,0.00,1.32,0.60
steps,12,6,15,3,3,16,8,14,0,4,16.42,9.05,17.96,5.27,4.97,20.71,7.10,17.34,0.00,0.60
points,2,4,0,3,0,2,1,9,4,4,2.74,6.03,0.00,5.27,0.00,2.59,0.89,11.15,1.76,0.60
names,4,9,2,3,12,0,5,5,4,4,5.47,13.57,2.40,5.27,19.86,0.00,4.44,6.19,1.76,0.60
you're,2,2,2,0,9,0,3,1,2,4,2.74,3.02,2.40,0.00,14.90,0.00,2.66,1.24,0.88,0.60
account,14,1,4,2,3,0,6,0,8,4,19.16,1.51,4.79,3.52,4.97,0.00,5.33,0.00,3.51,0.60
compression,1,0,4,2,8,3,2,5,2,4,1.37,0.00,4.79,3.52,13.24,3.88,1.78,6.19,0.88,0.60
consensus,0,6,0,0,8,0,0,0,0,4,0.00,9.05,0.00,0.00,13.24,0.00,0.00,0.00,0.00,0.60
task,1,9,1,0,11,4,6,6,0,4,1.37,13.57,1.20,0.00,18.21,5.18,5.33,7.43,0.00,0.60
rotation,0,12,17,0,1,0,5,2,0,4,0.00,18.10,20.36,0.00,1.66,0.00,4.44,2.48,0.00,0.60
space,1,9,5,19,6,19,0,12,0,4,1.37,13.57,5.99,33.40,9.93,24.59,0.00,14.87,0.00,0.60
current,7,8,3,1,3,12,10,0,9,4,9.58,12.07,3.59,1.76,4.97,15.53,8.88,0.00,3.95,0.60
delay,0,3,10,1,0,0,1,0,0,4,0.00,4.52,11.98,1.76,0.00,0.00,0.89,0.00,0.00,0.60
dim,2,0,0,1,0,11,1,0,0,4,2.74,0.00,0.00,1.76,0.00,14.24,0.89,0.00,0.00,0.60
root,6,12,15,2,6,0,11,8,2,4,8.21,18.10,17.96,3.52,9.93,0.00,9.77,9.91,0.88,0.60
content,0,3,5,4,13,0,13,5,4,4,0.00,4.52,5.99,7.03,21.52,0.00,11.54,6.19,1.76,0.60
build,0,6,30,1,5,18,15,27,0,4,0.00,9.05,35.93,1.76,8.28,23.29,13.32,33.45,0.00,0.60
retention,0,8,4,0,4,0,1,4,0,4,0.00,12.07,4.79,0.00,6.62,0.00,0.89,4.96,0.00,0.60
target,15,32,36,14,8,19,25,17,2,4,20.53,48.27,43.11,24.61,13.24,24.59,22.19,21.06,0.88,0.60
policies,0,2,7,1,1,0,7,9,0,4,0.00,3.02,8.38,1.76,1.66,0.00,6.21,11.15,0.00,0.60
element,0,2,4,9,0,2,0,0,0,4,0.00,3.02,4.79,15.82,0.00,2.59,0.00,0.00,0.00,0.60
training,8,2,1,17,9,11,6,3,10,4,10.95,3.02,1.20,29.88,14.90,14.24,5.33,3.72,4.39,0.60
doesn't,0,0,0,7,1,0,2,7,0,3,0.00,0.00,0.00,12.30,1.66,0.00,1.78,8.67,0.00,0.45
floor,0,1,0,1,0,2,22,1,0,3,0.00,1.51,0.00,1.76,0.00,2.59,19.53,1.24,0.00,0.45
feature,0,0,8,7,1,0,11,7,0,3,0.00,0.00,9.58,12.30,1.66,0.00,9.77,8.67,0.00,0.45
master,0,1,0,0,3,0,11,4,0,3,0.00,1.51,0.00,0.00,4.97,0.00,9.77,4.96,0.00,0.45
windows,4,1,8,8,2,3,2,1,2,3,5.47,1.51,9.58,14.06,3.31,3.88,1.78,1.24,0.88,0.45
follow,6,8,12,1,1,4,8,7,6,3,8.21,12.07,14.37,1.76,1.66,5.18,7.10,8.67,2.63,0.45
rule,26,1,7,6,0,2,0,5,5,3,35.59,1.51,8.38,10.55,0.00,2.59,0.00,6.19,2.19,0.45
ready,4,1,0,0,0,12,8,9,0,3,5.47,1.51,0.00,0.00,0.00,15.53,7.10,11.15,0.00,0.45
handle,2,2,4,16,7,5,4,6,3,3,2.74,3.02,4.79,28.12,11.59,6.47,3.55,7.43,1.32,0.45
brief,0,9,2,2,9,3,0,0,0,3,0.00,13.57,2.40,3.52,14.90,3.88,0.00,0.00,0.00,0.45
color,9,0,1,2,0,0,2,1,8,3,12.32,0.00,1.20,3.52,0.00,0.00,1.78,1.24,3.51,0.45
sentence,4,0,4,2,6,6,0,0,14,3,5.47,0.00,4.79,3.52,9.93,7.76,0.00,0.00,6.14,0.45
date,17,8,4,4,0,4,12,4,2,3,23.27,12.07,4.79,7.03,0.00,5.18,10.65,4.96,0.88,0.45
email,21,11,14,4,11,4,18,0,0,3,28.74,16.59,16.77,7.03,18.21,5.18,15.98,0.00,0.00,0.45
min,1,0,22,9,3,6,14,4,0,3,1.37,0.00,26.35,15.82,4.97,7.76,12.43,4.96,0.00,0.45
minute,22,2,0,2,0,21,3,1,0,3,30.11,3.02,0.00,3.52,0.00,27.18,2.66,1.24,0.00,0.45
missing,2,7,0,7,3,30,0,0,0,3,2.74,10.56,0.00,12.30,4.97,38.82,0.00,0.00,0.00,0.45
exact,12,6,12,0,1,10,6,6,0,3,16.42,9.05,14.37,0.00,1.66,12.94,5.33,7.43,0.00,0.45
speed,7,0,2,6,0,1,2,0,4,3,9.58,0.00,2.40,10.55,0.00,1.29,1.78,0.00,1.76,0.45
patterns,7,2,3,2,0,6,3,9,2,3,9.58,3.02,3.59,3.52,0.00,7.76,2.66,11.15,0.88,0.45
learned,8,0,4,0,3,4,1,0,0,3,10.95,0.00,4.79,0.00,4.97,5.18,0.89,0.00,0.00,0.45
integrity,4,1,13,0,1,13,0,12,1,3,5.47,1.51,15.57,0.00,1.66,16.82,0.00,14.87,0.44,0.45
legitimate,8,1,5,2,7,0,10,1,0,3,10.95,1.51,5.99,3.52,11.59,0.00,8.88,1.24,0.00,0.45
api,23,44,32,5,17,2,54,13,0,3,31.48,66.37,38.32,8.79,28.14,2.59,47.94,16.11,0.00,0.45
fits,8,2,0,3,3,1,4,1,2,3,10.95,3.02,0.00,5.27,4.97,1.29,3.55,1.24,0.88,0.45
fictional,0,0,0,1,8,0,0,0,0,2,0.00,0.00,0.00,1.76,13.24,0.00,0.00,0.00,0.00,0.30
replication,12,0,4,0,0,0,0,12,0,2,16.42,0.00,4.79,0.00,0.00,0.00,0.00,14.87,0.00,0.30
limiting,0,1,3,0,3,0,20,2,8,2,0.00,1.51,3.59,0.00,4.97,0.00,17.76,2.48,3.51,0.30
extract,8,5,9,4,5,10,7,0,0,2,10.95,7.54,10.78,7.03,8.28,12.94,6.21,0.00,0.00,0.30
bytes,0,0,0,0,0,1,12,4,0,2,0.00,0.00,0.00,0.00,0.00,1.29,10.65,4.96,0.00,0.30
magic,0,0,0,0,0,0,11,9,0,2,0.00,0.00,0.00,0.00,0.00,0.00,9.77,11.15,0.00,0.30
scan,6,9,11,3,0,16,6,7,0,2,8.21,13.57,13.17,5.27,0.00,20.71,5.33,8.67,0.00,0.30
expect,1,13,5,0,1,0,2,0,2,2,1.37,19.61,5.99,0.00,1.66,0.00,1.78,0.00,0.88,0.30
schedule,6,5,21,2,6,11,8,8,0,2,8.21,7.54,25.15,3.52,9.93,14.24,7.10,9.91,0.00,0.30
generate,12,7,9,5,5,4,19,14,0,2,16.42,10.56,10.78,8.79,8.28,5.18,16.87,17.34,0.00,0.30
gives,1,4,0,9,5,5,7,3,1,2,1.37,6.03,0.00,15.82,8.28,6.47,6.21,3.72,0.44,0.30
mention,0,10,0,0,10,4,4,6,0,2,0.00,15.08,0.00,0.00,16.55,5.18,3.55,7.43,0.00,0.30
addresses,4,3,5,3,5,0,2,0,0,2,5.47,4.52,5.99,5.27,8.28,0.00,1.78,0.00,0.00,0.30
returning,0,2,0,6,0,1,1,0,0,2,0.00,3.02,0.00,10.55,0.00,1.29,0.89,0.00,0.00,0.30
lists,1,1,0,8,4,10,1,3,0,2,1.37,1.51,0.00,14.06,6.62,12.94,0.89,3.72,0.00,0.30
cluster,4,12,8,0,1,12,7,15,0,2,5.47,18.10,9.58,0.00,1.66,15.53,6.21,18.58,0.00,0.30
runs,1,3,0,8,0,7,4,7,3,2,1.37,4.52,0.00,14.06,0.00,9.06,3.55,8.67,1.32,0.30
analysis,7,0,1,0,7,0,2,2,2,2,9.58,0.00,1.20,0.00,11.59,0.00,1.78,2.48,0.88,0.30
url,8,5,6,2,1,0,17,2,0,2,10.95,7.54,7.19,3.52,1.66,0.00,15.09,2.48,0.00,0.30
renewal,4,8,27,0,0,12,10,4,0,2,5.47,12.07,32.34,0.00,0.00,15.53,8.88,4.96,0.00,0.30
latest,0,16,18,1,0,0,2,8,2,2,0.00,24.13,21.56,1.76,0.00,0.00,1.78,9.91,0.88,0.30
discuss,6,8,0,4,8,2,6,0,2,2,8.21,12.07,0.00,7.03,13.24,2.59,5.33,0.00,0.88,0.30
restore,0,0,8,0,0,4,0,12,0,2,0.00,0.00,9.58,0.00,0.00,5.18,0.00,14.87,0.00,0.30
item,12,0,0,19,7,20,5,11,0,2,16.42,0.00,0.00,33.40,11.59,25.88,4.44,13.63,0.00,0.30
pull,1,4,12,0,0,0,1,6,0,2,1.37,6.03,14.37,0.00,0.00,0.00,0.89,7.43,0.00,0.30
check,4,15,13,4,3,24,18,17,8,2,5.47,22.62,15.57,7.03,4.97,31.06,15.98,21.06,3.51,0.30
pattern,0,0,15,5,3,4,5,4,0,2,0.00,0.00,17.96,8.79,4.97,5.18,4.44,4.96,0.00,0.30
join,10,8,4,7,3,4,3,0,0,2,13.69,12.07,4.79,12.30,4.97,5.18,2.66,0.00,0.00,0.30
mental,0,8,0,0,5,0,0,0,8,2,0.00,12.07,0.00,0.00,8.28,0.00,0.00,0.00,3.51,0.30
cramps,0,0,0,0,0,0,0,0,36,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.80,0.30
critical,11,10,12,2,6,26,1,6,0,2,15.06,15.08,14.37,3.52,9.93,33.65,0.89,7.43,0.00,0.30
issued,9,1,0,6,3,4,0,4,0,2,12.32,1.51,0.00,10.55,4.97,5.18,0.00,4.96,0.00,0.30
version,14,36,42,1,0,32,7,10,0,2,19.16,54.30,50.30,1.76,0.00,41.41,6.21,12.39,0.00,0.30
profit,0,0,0,0,0,24,0,0,0,2,0.00,0.00,0.00,0.00,0.00,31.06,0.00,0.00,0.00,0.30
carry,1,8,0,0,10,4,4,4,0,2,1.37,12.07,0.00,0.00,16.55,5.18,3.55,4.96,0.00,0.30
app,1,20,32,4,7,0,30,12,0,2,1.37,30.17,38.32,7.03,11.59,0.00,26.63,14.87,0.00,0.30
mode,2,0,21,0,2,0,2,8,0,2,2.74,0.00,25.15,0.00,3.31,0.00,1.78,9.91,0.00,0.30
returns,6,10,0,11,0,26,4,11,0,2,8.21,15.08,0.00,19.34,0.00,33.65,3.55,13.63,0.00,0.30
self,0,1,0,0,3,1,45,0,0,2,0.00,1.51,0.00,0.00,4.97,1.29,39.95,0.00,0.00,0.30
float,0,2,3,1,0,25,1,15,0,1,0.00,3.02,3.59,1.76,0.00,32.35,0.89,18.58,0.00,0.15
row,1,6,5,3,0,10,0,5,0,1,1.37,9.05,5.99,5.27,0.00,12.94,0.00,6.19,0.00,0.15
handling,1,1,2,3,6,2,5,4,0,1,1.37,1.51,2.40,5.27,9.93,2.59,4.44,4.96,0.00,0.15
prices,0,1,0,0,0,11,3,0,2,1,0.00,1.51,0.00,0.00,0.00,14.24,2.66,0.00,0.88,0.15
column,12,0,0,4,2,12,12,0,0,1,16.42,0.00,0.00,7.03,3.31,15.53,10.65,0.00,0.00,0.15
https,10,2,14,0,0,4,14,4,0,1,13.69,3.02,16.77,0.00,0.00,5.18,12.43,4.96,0.00,0.15
pass,8,2,1,12,3,7,5,2,0,1,10.95,3.02,1.20,21.09,4.97,9.06,4.44,2.48,0.00,0.15
scale,6,0,2,3,2,1,9,11,0,1,8.21,0.00,2.40,5.27,3.31,1.29,7.99,13.63,0.00,0.15
we're,2,2,0,0,5,0,0,2,0,1,2.74,3.02,0.00,0.00,8.28,0.00,0.00,2.48,0.00,0.15
hierarchy,0,0,0,9,1,0,1,0,0,1,0.00,0.00,0.00,15.82,1.66,0.00,0.89,0.00,0.00,0.15
values,0,7,0,3,6,6,3,17,4,1,0.00,10.56,0.00,5.27,9.93,7.76,2.66,21.06,1.76,0.15
span,0,0,0,0,0,0,12,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,10.65,0.00,0.00,0.15
window,12,0,20,3,0,6,21,9,1,1,16.42,0.00,23.95,5.27,0.00,7.76,18.64,11.15,0.44,0.15
escalation,0,0,10,0,0,1,2,3,0,1,0.00,0.00,11.98,0.00,0.00,1.29,1.78,3.72,0.00,0.15
creating,3,3,1,1,6,0,4,0,7,1,4.11,4.52,1.20,1.76,9.93,0.00,3.55,0.00,3.07,0.15
explain,22,12,19,13,25,4,32,18,0,1,30.11,18.10,22.75,22.85,41.38,5.18,28.41,22.30,0.00,0.15
com,10,18,18,6,2,0,25,12,0,1,13.69,27.15,21.56,10.55,3.31,0.00,22.19,14.87,0.00,0.15
popularity,0,0,0,8,4,4,3,0,2,1,0.00,0.00,0.00,14.06,6.62,5.18,2.66,0.00,0.88,0.15
keys,11,0,13,1,9,8,13,7,0,1,15.06,0.00,15.57,1.76,14.90,10.35,11.54,8.67,0.00,0.15
preserve,4,0,4,6,1,6,0,4,5,1,5.47,0.00,4.79,10.55,1.66,7.76,0.00,4.96,2.19,0.15
engine,2,2,0,2,4,4,3,12,1,1,2.74,3.02,0.00,3.52,6.62,5.18,2.66,14.87,0.44,0.15
tube,12,0,4,0,0,12,8,0,0,1,16.42,0.00,4.79,0.00,0.00,15.53,7.10,0.00,0.00,0.15
merge,2,0,1,6,0,15,1,0,0,1,2.74,0.00,1.20,10.55,0.00,19.41,0.89,0.00,0.00,0.15
priority,8,4,8,2,4,4,0,3,0,1,10.95,6.03,9.58,3.52,6.62,5.18,0.00,3.72,0.00,0.15
mix,10,3,0,1,1,0,9,2,0,1,13.69,4.52,0.00,1.76,1.66,0.00,7.99,2.48,0.00,0.15
load,2,5,11,0,0,24,22,7,0,1,2.74,7.54,13.17,0.00,0.00,31.06,19.53,8.67,0.00,0.15
medium,4,0,0,10,0,4,1,0,0,1,5.47,0.00,0.00,17.58,0.00,5.18,0.89,0.00,0.00,0.15
valid,0,1,8,2,0,10,9,0,0,1,0.00,1.51,9.58,3.52,0.00,12.94,7.99,0.00,0.00,0.15
classic,0,0,1,2,7,2,2,0,1,1,0.00,0.00,1.20,3.52,11.59,2.59,1.78,0.00,0.44,0.15
format,11,1,12,1,4,9,15,14,0,1,15.06,1.51,14.37,1.76,6.62,11.65,13.32,17.34,0.00,0.15
str,0,10,0,43,0,28,1,21,0,1,0.00,15.08,0.00,75.58,0.00,36.24,0.89,26.02,0.00,0.15
tables,5,2,2,1,2,16,2,6,0,1,6.84,3.02,2.40,1.76,3.31,20.71,1.78,7.43,0.00,0.15
file,10,10,5,4,3,1,41,16,0,1,13.69,15.08,5.99,7.03,4.97,1.29,36.40,19.82,0.00,0.15
core,2,5,1,20,0,16,5,6,4,1,2.74,7.54,1.20,35.16,0.00,20.71,4.44,7.43,1.76,0.15
certificate,36,20,51,0,2,28,24,24,0,0,49.27,30.17,61.08,0.00,3.31,36.24,21.31,29.73,0.00,0.00
crt,0,0,0,0,0,4,16,12,0,0,0.00,0.00,0.00,0.00,0.00,5.18,14.20,14.87,0.00,0.00
registry,4,12,24,0,3,0,5,12,0,0,5.47,18.10,28.74,0.00,4.97,0.00,4.44,14.87,0.00,0.00
rephrase,0,16,0,0,14,8,8,8,0,0,0.00,24.13,0.00,0.00,23.17,10.35,7.10,9.91,0.00,0.00
digicert,8,0,0,0,0,0,4,0,0,0,10.95,0.00,0.00,0.00,0.00,0.00,3.55,0.00,0.00,0.00
nft,0,0,0,0,0,0,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.39,0.00,0.00
stg,0,0,0,0,0,12,0,0,0,0,0.00,0.00,0.00,0.00,0.00,15.53,0.00,0.00,0.00,0.00
checks,4,5,10,1,5,11,4,14,0,0,5.47,7.54,11.98,1.76,8.28,14.24,3.55,17.34,0.00,0.00
orders,19,0,2,2,3,2,29,1,0,0,26.01,0.00,2.40,3.52,4.97,2.59,25.75,1.24,0.00,0.00
substring,0,1,0,0,1,0,2,12,0,0,0.00,1.51,0.00,0.00,1.66,0.00,1.78,14.87,0.00,0.00
ransomware,3,3,0,3,6,0,4,0,0,0,4.11,4.52,0.00,5.27,9.93,0.00,3.55,0.00,0.00,0.00
autoencoder,10,0,0,9,5,4,4,4,0,0,13.69,0.00,0.00,15.82,8.28,5.18,3.55,4.96,0.00,0.00
requests,6,2,8,0,2,1,16,2,0,0,8.21,3.02,9.58,0.00,3.31,1.29,14.20,2.48,0.00,0.00
output,1,4,4,9,3,14,5,7,0,0,1.37,6.03,4.79,15.82,4.97,18.12,4.44,8.67,0.00,0.00
lst,0,16,0,0,0,18,0,0,0,0,0.00,24.13,0.00,0.00,0.00,23.29,0.00,0.00,0.00,0.00
logrotate,0,28,16,0,0,0,0,0,0,0,0.00,42.23,19.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00
verify,30,68,65,0,8,36,53,61,0,0,41.06,102.56,77.84,0.00,13.24,46.59,47.05,75.57,0.00,0.00
random,5,0,6,4,0,0,15,4,0,0,6.84,0.00,7.19,7.03,0.00,0.00,13.32,4.96,0.00,0.00
planet,0,0,0,0,8,0,0,1,0,0,0.00,0.00,0.00,0.00,13.24,0.00,0.00,1.24,0.00,0.00
hierarchical,0,0,0,6,0,0,0,0,0,0,0.00,0.00,0.00,10.55,0.00,0.00,0.00,0.00,0.00,0.00
redis,0,0,0,0,0,1,13,0,0,0,0.00,0.00,0.00,0.00,0.00,1.29,11.54,0.00,0.00,0.00
sorted,1,0,0,12,0,14,1,12,0,0,1.37,0.00,0.00,21.09,0.00,18.12,0.89,14.87,0.00,0.00
rollout,0,8,12,0,0,0,0,4,0,0,0.00,12.07,14.37,0.00,0.00,0.00,0.00,4.96,0.00,0.00
slack,4,4,12,0,3,7,4,8,0,0,5.47,6.03,14.37,0.00,4.97,9.06,3.55,9.91,0.00,0.00
tiny,0,0,0,6,0,1,6,0,0,0,0.00,0.00,0.00,10.55,0.00,1.29,5.33,0.00,0.00,0.00
login,9,12,5,3,4,0,9,0,0,0,12.32,18.10,5.99,5.27,6.62,0.00,7.99,0.00,0.00,0.00
revenue,4,0,0,0,7,0,0,0,0,0,5.47,0.00,0.00,0.00,11.59,0.00,0.00,0.00,0.00,0.00
etcdctl,8,0,0,0,0,8,0,12,0,0,10.95,0.00,0.00,0.00,0.00,10.35,0.00,14.87,0.00,0.00
pods,4,8,4,0,0,4,15,8,0,0,5.47,12.07,4.79,0.00,0.00,5.18,13.32,9.91,0.00,0.00
expiry,8,16,17,0,0,12,12,8,0,0,10.95,24.13,20.36,0.00,0.00,15.53,10.65,9.91,0.00,0.00
count,13,5,0,11,1,14,8,14,1,0,17.79,7.54,0.00,19.34,1.66,18.12,7.10,17.34,0.44,0.00
operator,0,0,10,0,0,0,0,0,0,0,0.00,0.00,11.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00
onnx,3,0,0,7,7,1,1,1,0,0,4.11,0.00,0.00,12.30,11.59,1.29,0.89,1.24,0.00,0.00
k-means,9,0,0,0,0,1,0,0,0,0,12.32,0.00,0.00,0.00,0.00,1.29,0.00,0.00,0.00,0.00
schema,3,16,25,0,0,0,4,8,0,0,4.11,24.13,29.94,0.00,0.00,0.00,3.55,9.91,0.00,0.00
lag,8,8,4,0,0,0,1,8,0,0,10.95,12.07,4.79,0.00,0.00,0.00,0.89,9.91,0.00,0.00
ledger,0,6,0,0,6,0,0,0,0,0,0.00,9.05,0.00,0.00,9.93,0.00,0.00,0.00,0.00,0.00
input,3,2,2,6,5,21,12,18,0,0,4.11,3.02,2.40,10.55,8.28,27.18,10.65,22.30,0.00,0.00
vintage,0,0,0,0,0,0,0,0,20,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.78,0.00
